sample_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,nominal_length,read_count,fastq_ftp,sra_ftp
SAMEA2056512,ERR502011,7165,Anopheles gambiae,Illumina HiSeq 2000,PAIRED,224.0,41464934,ftp.sra.ebi.ac.uk/vol1/fastq/ERR502/ERR502011/ERR502011_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR502/ERR502011/ERR502011_2.fastq.gz;,
SAMN13681645,SRR10813736,4577,Zea mays,Illumina HiSeq 2500,PAIRED,,11657690,ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/036/SRR10813736/SRR10813736_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR108/036/SRR10813736/SRR10813736_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR108/036/SRR10813736
SAMN04219348,SRR2890363,4896,Schizosaccharomyces pombe,Illumina HiSeq 2000,PAIRED,,11359199,ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/003/SRR2890363/SRR2890363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR289/003/SRR2890363/SRR2890363_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR289/003/SRR2890363
SAMN03003521,SRR4022466,38727,Panicum virgatum,Illumina HiSeq 2000,PAIRED,,15776481,ftp.sra.ebi.ac.uk/vol1/fastq/SRR402/006/SRR4022466/SRR4022466_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR402/006/SRR4022466/SRR4022466_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR402/006/SRR4022466
SAMN02745920,SRR3943193,1130373,Planctomycetes bacterium JGI 0000014-B07,Illumina HiSeq 2000,PAIRED,,17396531,ftp.sra.ebi.ac.uk/vol1/fastq/SRR394/003/SRR3943193/SRR3943193_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR394/003/SRR3943193/SRR3943193_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR394/003/SRR3943193
SAMN09882638,SRR7766694,2304651,Neurospora sp. CHS-2018c,Illumina HiSeq 4000,PAIRED,,26259110,ftp.sra.ebi.ac.uk/vol1/fastq/SRR776/004/SRR7766694/SRR7766694_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR776/004/SRR7766694/SRR7766694_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR776/004/SRR7766694
SAMEA2072189,ERR403845,7165,Anopheles gambiae,Illumina HiSeq 2000,PAIRED,184.0,38964600,ftp.sra.ebi.ac.uk/vol1/fastq/ERR403/ERR403845/ERR403845_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR403/ERR403845/ERR403845_2.fastq.gz;,
SAMEA4669694,ERR2891475,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,538.0,25657984,ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/005/ERR2891475/ERR2891475_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR289/005/ERR2891475/ERR2891475_2.fastq.gz;,
SAMEA5058654,ERR3448809,5833,Plasmodium falciparum,HiSeq X Ten,PAIRED,553.0,22962526,ftp.sra.ebi.ac.uk/vol1/fastq/ERR344/009/ERR3448809/ERR3448809_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR344/009/ERR3448809/ERR3448809_2.fastq.gz;,
SAMEA4384987,ERR2091597,7955,Danio rerio,HiSeq X Ten,PAIRED,470.0,10547334,ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091597/ERR2091597_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR209/007/ERR2091597/ERR2091597_2.fastq.gz;,
SAMN11371152,SRR8881179,321403,Nothobranchius kuhntae,HiSeq X Ten,PAIRED,,13091316,ftp.sra.ebi.ac.uk/vol1/fastq/SRR888/009/SRR8881179/SRR8881179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR888/009/SRR8881179/SRR8881179_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR888/009/SRR8881179
SAMN11417165,SRR8896265,73274,Helianthus anomalus,Illumina HiSeq 4000,PAIRED,,11412164,ftp.sra.ebi.ac.uk/vol1/fastq/SRR889/005/SRR8896265/SRR8896265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR889/005/SRR8896265/SRR8896265_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR889/005/SRR8896265
SAMN12814196,SRR10669168,90675,Camelina sativa,Illumina NovaSeq 6000,PAIRED,,31669807,ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/068/SRR10669168/SRR10669168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR106/068/SRR10669168/SRR10669168_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR106/068/SRR10669168
SAMN00811240,SRR445686,9541,Macaca fascicularis,Illumina Genome Analyzer II,PAIRED,331.0,23573410,ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/SRR445686/SRR445686_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR445/SRR445686/SRR445686_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR445/SRR445686
SAMN11415030,SRR8896718,74151,Helianthus petiolaris subsp. petiolaris,Illumina HiSeq 4000,PAIRED,,22206523,ftp.sra.ebi.ac.uk/vol1/fastq/SRR889/008/SRR8896718/SRR8896718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR889/008/SRR8896718/SRR8896718_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR889/008/SRR8896718
SAMEA2501324,ERR596130,5833,Plasmodium falciparum,Illumina HiSeq 2000,PAIRED,232.0,14097220,ftp.sra.ebi.ac.uk/vol1/fastq/ERR596/ERR596130/ERR596130_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR596/ERR596130/ERR596130_2.fastq.gz;,
