sample_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,read_count,fastq_ftp,sra_ftp
SAMN07741163,SRR6163217,128735,Rosa hybrid cultivar,Illumina HiSeq 2500,SINGLE,481823,ftp.sra.ebi.ac.uk/vol1/fastq/SRR616/007/SRR6163217/SRR6163217.fastq.gz,ftp.sra.ebi.ac.uk/vol1/srr/SRR616/007/SRR6163217
SAMN10992179,SRR8613870,562,Escherichia coli,Illumina HiSeq 2500,SINGLE,1091856,ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8613870/SRR8613870_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR861/000/SRR8613870/SRR8613870_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR861/000/SRR8613870
SAMN00709005,SRR350062,1056495,Caldisphaera lagunensis DSM 15908,Illumina Genome Analyzer II,PAIRED,35300747,ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/SRR350062/SRR350062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR350/SRR350062/SRR350062_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR350/SRR350062
SAMN11047621,SRR8663536,195,Campylobacter coli,Illumina MiSeq,PAIRED,434472,ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8663536/SRR8663536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR866/006/SRR8663536/SRR8663536_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR866/006/SRR8663536
SAMEA3721720,ERR1555706,4932,Saccharomyces cerevisiae,HiSeq X Ten,PAIRED,7806294,ftp.sra.ebi.ac.uk/vol1/fastq/ERR155/006/ERR1555706/ERR1555706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR155/006/ERR1555706/ERR1555706_2.fastq.gz;,
SAMEA4883050,ERR3796974,295319,Salmonella enterica subsp. enterica serovar Paratyphi A str. ATCC 9150,HiSeq X Ten,PAIRED,2419796,ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/004/ERR3796974/ERR3796974_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR379/004/ERR3796974/ERR3796974_2.fastq.gz;,
SAMN12862129,SRR10196330,28901,Salmonella enterica,Illumina MiSeq,PAIRED,1126023,ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/030/SRR10196330/SRR10196330_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR101/030/SRR10196330/SRR10196330_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR101/030/SRR10196330
SAMEA3257414,ERR763537,10090,Mus musculus,Illumina HiSeq 2000,PAIRED,4064649,ftp.sra.ebi.ac.uk/vol1/fastq/ERR763/ERR763537/ERR763537.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR763/ERR763537/ERR763537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR763/ERR763537/ERR763537_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR763/ERR763537
SAMN10171276,SRR7958999,28901,Salmonella enterica,Illumina MiSeq,PAIRED,750851,ftp.sra.ebi.ac.uk/vol1/fastq/SRR795/009/SRR7958999/SRR7958999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR795/009/SRR7958999/SRR7958999_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR795/009/SRR7958999
SAMN09198133,SRR7162976,699539,Gymnotus tigre,NextSeq 500,PAIRED,2317681,ftp.sra.ebi.ac.uk/vol1/fastq/SRR716/006/SRR7162976/SRR7162976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR716/006/SRR7162976/SRR7162976_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/srr/SRR716/006/SRR7162976
SAMN00006466,ERR1570992,9606,Homo sapiens,Illumina HiSeq 2000,PAIRED,919960,ftp.sra.ebi.ac.uk/vol1/fastq/ERR157/002/ERR1570992/ERR1570992_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR157/002/ERR1570992/ERR1570992_2.fastq.gz;,ftp.sra.ebi.ac.uk/vol1/err/ERR157/002/ERR1570992
SAMEA5560759,ERR3371283,7165,Anopheles gambiae,HiSeq X Ten,PAIRED,20728022,ftp.sra.ebi.ac.uk/vol1/fastq/ERR337/003/ERR3371283/ERR3371283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR337/003/ERR3371283/ERR3371283_2.fastq.gz;,
SAMEA2517966,ERR591776,623,Shigella flexneri,Illumina HiSeq 2000,PAIRED,4248104,ftp.sra.ebi.ac.uk/vol1/fastq/ERR591/ERR591776/ERR591776_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR591/ERR591776/ERR591776_2.fastq.gz;,
